,Years,Total_Foods,Population
0,2022,199835.8,333.29
1,2021,174144.8,332.03
2,2020,147631.0,331.51
3,2019,142987.4,328.24
4,2018,140916.9,326.69
5,2017,132511.3,324.99
6,2016,125437.8,322.94
7,2015,123350.7,320.64
8,2014,121825.0,318.3
9,2013,111777.7,315.99
10,2012,108811.0,313.83
11,2011,104482.8,311.56
12,2010,88457.0,309.32
13,2009,78472.3,306.77
14,2008,85752.1,304.09
15,2007,77937.8,301.23
16,2006,71925.6,298.38
17,2005,65311.7,295.52
18,2004,59268.3,292.81
19,2003,53102.2,290.11
20,2002,47205.1,287.63
21,2001,44396.4,284.97
22,2000,43788.6,282.16
23,1999,41825.0,279.04
