,Year,Fish and shellfish,Other edible products,Fruits,Grains,Beverages,Vegetables,Meats,"Coffee, tea, and spices",Vegetable oils,Sugar and candy
4,2022,30525.5,29732.8,27083.8,19470.0,16076.5,15754.3,14055.4,12980.6,12850.8,7074.8
5,2021,28493.0,18825.4,23668.8,15255.9,19022.6,16838.2,13194.1,9818.7,9600.8,5877.4
6,2020,21832.2,16554.4,20492.1,13924.5,16368.9,15590.3,10384.6,8346.2,6682.1,5318.3
7,2019,22469.1,15270.5,20313.8,13035.5,16096.7,13974.8,9668.9,8427.3,6303.5,4810.1
8,2018,22900.9,14929.3,19539.3,12562.1,15760.0,13419.1,9251.2,8454.7,6989.2,4803.9
9,2017,21924.9,10871.7,18384.6,11257.6,15218.6,12670.5,8875.2,9066.7,7216.0,4807.5
10,2016,19638.4,11921.1,17157.8,10558.4,13558.9,12409.2,8587.2,8311.3,6523.3,4802.9
11,2015,18877.9,12105.3,15954.8,10360.1,12841.7,11227.1,9991.7,8536.2,6304.1,4829.4
12,2014,20363.3,12134.5,14807.7,10363.7,12013.7,10880.9,8940.3,8298.8,7336.6,4705.4
13,2013,18059.6,12178.2,13602.3,10584.6,11290.9,10687.6,6529.9,7633.2,6664.5,4462.9
14,2012,16792.6,13153.8,12537.9,9387.8,10894.4,9899.3,6245.2,8725.7,6235.9,4931.8
15,2011,16509.3,10141.6,12158.6,8303.7,10174.1,9645.4,5755.3,9715.8,6793.6,5305.0
16,2010,14545.9,8574.1,10814.0,7348.1,9293.2,8693.3,5087.9,6265.0,4508.8,4185.2
17,2009,12954.0,7613.6,9799.9,7035.6,8749.9,7512.8,4612.1,5160.3,4039.4,3205.6
18,2008,13950.5,8176.2,10064.7,7902.3,9859.6,7798.4,5059.8,5580.8,5694.6,3108.1
19,2007,13466.4,7415.8,9384.1,6104.9,9939.5,7254.6,5367.4,4791.2,3516.7,2707.6
20,2006,13145.7,7242.7,7833.2,5076.4,9238.2,6617.9,5243.7,4200.4,2818.3,3145.6
21,2005,11876.4,6643.2,7003.6,4412.2,7911.2,6044.3,5752.0,3775.7,2362.6,2579.4
22,2004,11138.7,5813.3,6047.3,4176.2,7047.5,5735.8,5718.5,3148.8,2241.0,2193.2
23,2003,10892.7,4470.9,5631.4,3759.2,6621.1,5094.8,4426.9,2875.5,1506.5,2205.0
24,2002,10000.9,3160.6,5138.8,3477.4,5817.6,4397.7,4283.5,2457.8,1301.7,1928.1
25,2001,9697.5,2891.7,4741.9,3100.7,5123.2,4160.8,4256.2,2403.4,1309.8,1684.9
26,2000,9946.7,2689.3,4692.2,2833.8,4838.6,3772.0,3827.7,3444.3,1501.0,1642.0
27,1999,8914.4,2737.1,4827.4,2755.6,4433.3,3631.8,3260.5,3605.9,1518.7,1661.9
