,Years,Live meat animals,Meats,Fish and shellfish ,Dairy,Vegetables,Fruits,Nuts,"Coffee, tea, and spices",Grains,Vegetable oils,Sugar and candy,Cocoa and chocolate,Other edible products,Beverages
3,2022,8135.1,2194.4,3158.7,407.2,12100.7,15308.3,552.4,2414.0,12586.6,7192.3,4900.0,1514.7,4338.0,7399.4
4,2021,8440.5,2077.5,3111.5,396.7,13349.0,14768.3,592.9,2344.5,11319.0,6718.8,4538.8,1532.5,3079.1,10006.7
5,2020,7397.3,1886.9,2778.2,392.8,12278.7,14168.0,523.4,2254.6,11799.4,6219.9,4957.3,1391.9,2689.8,8943.1
6,2019,7139.2,1795.5,2704.9,408.1,11763.4,13882.4,543.0,2371.9,11464.7,6149.8,4304.9,1393.9,2437.6,8336.4
7,2018,7124.5,1821.2,2773.4,379.9,11663.0,14017.0,558.4,2236.8,12212.8,6281.9,4193.2,1372.9,2420.6,8224.2
8,2017,7363.3,1847.8,2669.9,382.3,11070.2,13606.2,550.8,2276.2,11854.3,6399.9,4111.9,1454.2,2250.1,8234.0
9,2016,7336.2,1824.8,2585.0,395.6,10588.4,13249.5,517.9,2235.8,10994.5,6198.2,4374.7,1365.8,2432.7,7181.2
10,2015,7661.2,1942.8,2525.0,359.3,9733.1,12861.1,510.5,2161.0,10991.5,6017.8,4454.0,1336.7,2396.0,6721.6
11,2014,7232.6,1720.2,2474.2,302.5,9574.5,12161.7,476.2,2112.4,11364.5,7507.7,4268.5,1296.1,2459.4,6226.6
12,2013,6947.3,1400.5,2399.7,293.6,8989.3,11833.3,433.6,2087.0,13034.1,6278.5,4048.2,1303.6,2342.7,5946.4
13,2012,7909.8,1336.6,2384.4,292.0,8628.1,11031.8,478.0,2018.8,10689.8,5012.8,4119.3,1237.4,2258.9,5991.0
14,2011,7872.7,1270.1,2349.4,248.6,8440.9,10466.4,368.7,2015.0,8586.8,5229.4,4569.6,1313.0,2222.3,5563.5
15,2010,7997.6,1371.5,2345.0,249.7,8087.0,10148.8,363.5,1894.6,8643.0,4583.6,4003.4,1222.2,2027.7,5348.6
16,2009,8350.0,1445.4,2248.8,289.4,7312.6,9495.2,362.1,1823.0,8816.3,4435.7,3457.5,1169.4,1839.3,5088.2
17,2008,11558.6,1411.4,2254.5,309.8,7348.8,9782.5,344.2,1881.9,9798.4,4839.0,3666.1,1114.2,2080.3,5439.9
18,2007,12419.5,1628.2,2288.1,370.8,7204.5,9933.5,360.6,1850.9,8888.4,3930.4,2985.5,1129.2,1996.9,5605.1
19,2006,10985.5,1627.4,2317.1,375.6,6616.6,9111.9,326.5,1827.4,7832.8,3576.7,3916.2,1255.6,1955.3,5461.8
20,2005,9951.9,1797.1,2199.5,382.4,6368.6,8757.5,326.7,1746.3,6694.6,2869.0,3125.6,1308.1,1832.5,4790.1
21,2004,9866.3,1839.2,2119.9,346.4,6245.5,8428.6,336.7,1758.7,6643.2,2759.4,2433.1,1170.3,1750.1,4387.6
22,2003,9223.2,1659.3,2082.4,339.0,5967.2,8288.9,317.9,1716.3,6221.3,2066.7,2416.7,1048.5,1532.9,4205.7
23,2002,8302.9,1700.0,1903.5,332.8,5584.6,8006.7,383.2,1636.5,7031.6,2380.2,2193.6,918.6,1502.9,3981.8
24,2001,7758.1,1634.0,1759.0,326.7,5139.6,7556.8,374.4,1600.9,7435.5,2803.1,2085.7,993.1,1403.4,3701.3
25,2000,6521.8,1578.1,1717.2,298.9,4755.4,7688.5,364.0,1726.1,6627.6,2802.1,2159.0,1001.2,1168.1,3383.9
26,1999,6058.4,1439.6,1689.8,299.2,4790.1,7870.2,318.9,1651.5,6985.1,2428.0,2269.3,924.7,1099.2,2974.1
